article_link	headline	is_sarcastic
https://www.huffingtonpost.com/entry/gillian-jacob...	gillian jacobs on what it's like to kiss adam brod...	0
https://www.huffingtonpost.com/entry/uber-repay-ny...	uber vows to repay nyc drivers 'tens of millions' ...	0
https://www.huffingtonpost.com/entry/apple-may-hav...	apple may have poached electric motorcycle company...	0
https://www.huffingtonpost.com/entry/drug-resistan...	drug-resistant bacteria often lurk in children's, ...	0
https://www.huffingtonpost.com/entry/if-you-see-a-...	if you see a muslim at the airport	0
https://www.theonion.com/giant-altoid-heading-towa...	giant altoid heading toward earth	1
https://www.huffingtonpost.com/entry/moana-box-off...	'moana' sails straight to the top of the box offic...	0
https://www.huffingtonpost.com/entry/bud-selig-bas...	selig counted money while baseball lost the next g...	0
https://entertainment.theonion.com/robin-williams-...	robin williams inflicted on holiday moviegoers for...	1
https://www.huffingtonpost.com/entry/devin-nunes-v...	devin nunes vows to 'never' reveal source of surve...	0
https://www.huffingtonpost.com/entry/scott-longert...	scott used to stop breathing nearly 40 times an ho...	0
https://local.theonion.com/rescuers-heroically-hel...	rescuers heroically help beached garbage back into...	1
https://www.huffingtonpost.com/entry/medical-worke...	medics drop soccer player from stretcher; he's tic...	0
https://www.huffingtonpost.com/entry/give-the-gift...	give the gift of play this holiday season	0
https://www.theonion.com/christian-bale-visits-sik...	christian bale visits sikh temple victims	1
https://www.huffingtonpost.com/entry/sean-spicer-m...	spicer denies that ending maternity care guarantee...	0
https://www.theonion.com/right-to-live-life-in-com...	'right to live life in complete, stunned horror,' ...	1
https://www.theonion.com/nasa-now-almost-positive-...	nasa now almost positive mars is rocky	1
https://local.theonion.com/monster-undeterred-by-n...	monster undeterred by night-light	1
https://www.huffingtonpost.com/entry/diy-sports-eq...	diy: sports equipment closet	0
https://www.huffingtonpost.com/entry/nyc-concert-s...	1 dead, 3 injured in shooting at t.i. concert in n...	0
https://local.theonion.com/longtime-teacher-retire...	longtime teacher retires without changing a single...	1
https://www.huffingtonpost.com/entry/donald-trump-...	donald trump heading for a series of wins in the n...	0
https://www.huffingtonpost.comhttp://www.wsj.com/a...	donald trump wouldn't have had the ready cash to s...	0
https://entertainment.theonion.com/new-star-wars-f...	new 'star wars' film once again disappoints die-ha...	1
https://local.theonion.com/bats-shooed-out-of-nati...	bats shooed out of nation's waterslide tunnels in ...	1
https://www.theonion.com/mobile-news-crew-reports-...	mobile news crew reports on own van breaking down	1
https://www.huffingtonpost.com/entry/syria-humanit...	un rights chief calls humanitarian situation in sy...	0
https://www.huffingtonpost.com/entry/track-santa-o...	how to track santa claus' flight around the world ...	0
https://politics.theonion.com/obama-has-colorado-a...	obama has colorado appraised	1
https://entertainment.theonion.com/trouble-again-i...	trouble again in tv's africa	1
https://www.theonion.com/brita-unveils-new-in-thro...	brita unveils new in-throat water filters	1
https://entertainment.theonion.com/report-john-gri...	report: john grisham slowly but surely climbing li...	1
https://www.theonion.com/ghost-cant-make-a-simple-...	ghost can't make a simple cup of coffee without ev...	1
https://local.theonion.com/tupperware-will-never-t...	tupperware will never truly recover from red curry...	1
https://www.huffingtonpost.com/entry/one-of-the-pl...	one of the planet's most powerful forces for chang...	0
https://www.huffingtonpost.com/entry/draymond-gree...	how does draymond green take his game to the next ...	0
https://local.theonion.com/area-woman-said-sorry-1...	area woman said 'sorry' 118 times yesterday	1
https://www.huffingtonpost.com/entry/ryan-lochte-a...	ryan lochte apologizes for behavior in rio	0
https://www.theonion.com/north-dakota-not-heard-fr...	north dakota not heard from in 48 hours	1
https://www.huffingtonpost.com/entry/4-lessons-pri...	4 lessons prison taught me about power and control	0
https://www.theonion.com/sick-fucks-line-up-to-gap...	sick fucks line up to gape at dead body	1
https://www.huffingtonpost.com/entry/muslim-frater...	what is america's first muslim fraternity really l...	0
https://www.huffingtonpost.com/entry/the-vicious-k...	the vicious knot of syria, the untangling process ...	0
https://www.huffingtonpost.com/entry/peter-defazio...	this congressman thinks we can fix the economy by ...	0
https://www.theonion.com/breast-implants-found-to-...	breast implants found to cause problems in laborat...	1
https://www.huffingtonpost.com/entry/trump-strikes...	trump orders strikes on syria in retaliation for c...	0
https://www.theonion.com/ceos-funeral-a-networking...	ceo's funeral a networking dream	1
https://www.huffingtonpost.com/entry/year-round-sc...	year-round schooling: how it would help minority s...	0
https://www.huffingtonpost.com/entry/zen-teachers-...	90 zen teachers pledge to change culture that fost...	0
https://www.huffingtonpost.com/entry/substantiated...	nypd weighs allowing chokeholds following eric gar...	0
https://www.huffingtonpost.com/entry/versace-black...	former versace store clerk sues over secret 'black…	0
https://www.huffingtonpost.com/entry/roseanne-revi...	the 'roseanne' revival catches up to our thorny po...	0
https://local.theonion.com/mom-starting-to-fear-so...	mom starting to fear son's web series closest thin...	1
https://politics.theonion.com/boehner-just-wants-w...	boehner just wants wife to listen, not come up wit...	1
https://www.huffingtonpost.com/entry/jk-rowling-wi...	j.k. rowling wishes snape happy birthday in the mo...	0
https://www.huffingtonpost.com/entry/advancing-the...	advancing the world's women	0
https://www.huffingtonpost.com/entry/how-meat-is-g...	the fascinating case for eating lab-grown meat	0
https://www.huffingtonpost.com/entry/boxed-college...	this ceo will send your kids to school, if you wor...	0
https://politics.theonion.com/top-snake-handler-le...	top snake handler leaves sinking huckabee campaign	1
https://www.huffingtonpost.com/entry/fridays-morni...	friday's morning email: inside trump's presser for...	0
https://www.huffingtonpost.com/entry/airline-passe...	airline passengers tackle man who rushes cockpit i...	0
https://www.huffingtonpost.com/entry/facebook-heal...	facebook reportedly working on healthcare features...	0
https://www.huffingtonpost.comhttp://www.theguardi...	north korea praises trump and urges us voters to r...	0
https://www.huffingtonpost.com/entry/jeffrey-lord-...	actually, cnn's jeffrey lord has been 'indefensibl...	0
https://www.huffingtonpost.com/entry/barcelona-ref...	barcelona holds huge protest in support of refugee...	0
https://entertainment.theonion.com/nuclear-bomb-de...	nuclear bomb detonates during rehearsal for 'spide...	1
https://www.theonion.com/cosby-lawyer-asks-why-acc...	cosby lawyer asks why accusers didn't come forward...	1
https://www.theonion.com/stock-analysts-confused-f...	stock analysts confused, frightened by boar market	1
https://www.huffingtonpost.com/entry/bloomberg-phi...	bloomberg's program to build better cities just go...	0
https://www.huffingtonpost.com/entry/craig-hicks-i...	craig hicks indicted	0
https://local.theonion.com/courtroom-sketch-artist...	courtroom sketch artist has clear manga influences	1
https://politics.theonion.com/trump-assures-nation...	trump assures nation that decision for syrian airs...	1
https://www.huffingtonpost.com/entry/qatar-dutch-w...	qatar deporting dutch woman who reported she was d...	0
https://www.huffingtonpost.comhttp://pubx.co/dnWZe...	this is why you shouldn't go to the circus	0
https://www.huffingtonpost.com/entry/ted-cruz-repu...	ted cruz hits the panic button: 'we could lose bot...	0
https://www.huffingtonpost.com/entry/why-writers-m...	why writers must plan to be surprised	0
https://www.huffingtonpost.com/entry/obama-veteran...	obama visits arlington national cemetery to honor ...	0
https://local.theonion.com/ex-con-back-behind-bar-...	ex-con back behind bar	1
https://www.theonion.com/after-careful-considerati...	after careful consideration, bush recommends oil d...	1
https://www.huffingtonpost.com/entry/remembrance-i...	remembrance is the beginning of the task	0
https://www.huffingtonpost.com/entry/nemtsov-killi...	allies: islamist motive for killing nemtsov is non...	0
https://www.huffingtonpost.com/entry/gillian-jacob...	gillian jacobs on what it's like to kiss adam brod...	0
https://www.huffingtonpost.com/entry/uber-repay-ny...	uber vows to repay nyc drivers 'tens of millions' ...	0
https://www.huffingtonpost.com/entry/apple-may-hav...	apple may have poached electric motorcycle company...	0
https://www.huffingtonpost.com/entry/drug-resistan...	drug-resistant bacteria often lurk in children's, ...	0
https://www.huffingtonpost.com/entry/if-you-see-a-...	if you see a muslim at the airport	0
https://www.theonion.com/giant-altoid-heading-towa...	giant altoid heading toward earth	1
https://www.huffingtonpost.com/entry/moana-box-off...	'moana' sails straight to the top of the box offic...	0
https://www.huffingtonpost.com/entry/bud-selig-bas...	selig counted money while baseball lost the next g...	0
https://entertainment.theonion.com/robin-williams-...	robin williams inflicted on holiday moviegoers for...	1
https://www.huffingtonpost.com/entry/devin-nunes-v...	devin nunes vows to 'never' reveal source of surve...	0
https://www.huffingtonpost.com/entry/scott-longert...	scott used to stop breathing nearly 40 times an ho...	0
https://local.theonion.com/rescuers-heroically-hel...	rescuers heroically help beached garbage back into...	1
https://www.huffingtonpost.com/entry/medical-worke...	medics drop soccer player from stretcher; he's tic...	0
https://www.huffingtonpost.com/entry/give-the-gift...	give the gift of play this holiday season	0
https://www.theonion.com/christian-bale-visits-sik...	christian bale visits sikh temple victims	1
https://www.huffingtonpost.com/entry/sean-spicer-m...	spicer denies that ending maternity care guarantee...	0
https://www.theonion.com/right-to-live-life-in-com...	'right to live life in complete, stunned horror,' ...	1
https://www.theonion.com/nasa-now-almost-positive-...	nasa now almost positive mars is rocky	1
https://local.theonion.com/monster-undeterred-by-n...	monster undeterred by night-light	1
https://www.huffingtonpost.com/entry/diy-sports-eq...	diy: sports equipment closet	0
https://www.huffingtonpost.com/entry/nyc-concert-s...	1 dead, 3 injured in shooting at t.i. concert in n...	0
https://local.theonion.com/longtime-teacher-retire...	longtime teacher retires without changing a single...	1
https://www.huffingtonpost.com/entry/donald-trump-...	donald trump heading for a series of wins in the n...	0
https://www.huffingtonpost.comhttp://www.wsj.com/a...	donald trump wouldn't have had the ready cash to s...	0
https://entertainment.theonion.com/new-star-wars-f...	new 'star wars' film once again disappoints die-ha...	1
https://local.theonion.com/bats-shooed-out-of-nati...	bats shooed out of nation's waterslide tunnels in ...	1
https://www.theonion.com/mobile-news-crew-reports-...	mobile news crew reports on own van breaking down	1
https://www.huffingtonpost.com/entry/syria-humanit...	un rights chief calls humanitarian situation in sy...	0
https://www.huffingtonpost.com/entry/track-santa-o...	how to track santa claus' flight around the world ...	0
https://politics.theonion.com/obama-has-colorado-a...	obama has colorado appraised	1
https://entertainment.theonion.com/trouble-again-i...	trouble again in tv's africa	1
https://www.theonion.com/brita-unveils-new-in-thro...	brita unveils new in-throat water filters	1
https://entertainment.theonion.com/report-john-gri...	report: john grisham slowly but surely climbing li...	1
https://www.theonion.com/ghost-cant-make-a-simple-...	ghost can't make a simple cup of coffee without ev...	1
https://local.theonion.com/tupperware-will-never-t...	tupperware will never truly recover from red curry...	1
https://www.huffingtonpost.com/entry/one-of-the-pl...	one of the planet's most powerful forces for chang...	0
https://www.huffingtonpost.com/entry/draymond-gree...	how does draymond green take his game to the next ...	0
https://local.theonion.com/area-woman-said-sorry-1...	area woman said 'sorry' 118 times yesterday	1
https://www.huffingtonpost.com/entry/ryan-lochte-a...	ryan lochte apologizes for behavior in rio	0
https://www.theonion.com/north-dakota-not-heard-fr...	north dakota not heard from in 48 hours	1
https://www.huffingtonpost.com/entry/4-lessons-pri...	4 lessons prison taught me about power and control	0
https://www.theonion.com/sick-fucks-line-up-to-gap...	sick fucks line up to gape at dead body	1
https://www.huffingtonpost.com/entry/muslim-frater...	what is america's first muslim fraternity really l...	0
https://www.huffingtonpost.com/entry/the-vicious-k...	the vicious knot of syria, the untangling process ...	0
https://www.huffingtonpost.com/entry/peter-defazio...	this congressman thinks we can fix the economy by ...	0
https://www.theonion.com/breast-implants-found-to-...	breast implants found to cause problems in laborat...	1
https://www.huffingtonpost.com/entry/trump-strikes...	trump orders strikes on syria in retaliation for c...	0
https://www.theonion.com/ceos-funeral-a-networking...	ceo's funeral a networking dream	1
https://www.huffingtonpost.com/entry/year-round-sc...	year-round schooling: how it would help minority s...	0
https://www.huffingtonpost.com/entry/zen-teachers-...	90 zen teachers pledge to change culture that fost...	0
https://www.huffingtonpost.com/entry/substantiated...	nypd weighs allowing chokeholds following eric gar...	0
https://www.theonion.com/sonny-bono-foundation-pre...	sonny bono foundation prevents at-risk youths from...	1
https://www.huffingtonpost.com/entry/pope-francis-...	pope francis reminds the world that caring for the...	0
https://local.theonion.com/6-year-old-cries-when-t...	6-year-old cries when told mtm productions kitten ...	1
https://local.theonion.com/ex-boyfriend-just-thoug...	ex-boyfriend just thought he'd check in and throw ...	1
https://entertainment.theonion.com/doctors-restore...	doctors restore ken burns' full-color vision after...	1
https://www.huffingtonpost.com/entry/t-pga-awards-...	'gravity' & '12 years a slave' tie at 2014 pga awa...	0
https://www.huffingtonpost.com/entry/lgbq-sports-p...	for national coming out day, 150 lgbtq sports peop...	0
https://www.huffingtonpost.com/entry/john-oliver-t...	john oliver lays out the most disturbing ways in w...	0
https://www.huffingtonpost.com/entry/jason-chaffet...	house gop crackdown continues	0
https://www.theonion.com/i-must-make-sure-you-have...	'i must make sure you have the skills to please my...	1
https://local.theonion.com/man-visiting-hometown-a...	man visiting hometown amazed to find all his child...	1
https://www.huffingtonpost.com/entry/bug-james-rod...	look: world cup star attacked by giant bug	0
https://www.theonion.com/clinton-becomes-first-pre...	clinton becomes first president to clear 18 feet i...	1
https://www.theonion.com/hunter-s-thompson-shoots-...	hunter s. thompson shoots mouth off one last time	1
https://www.huffingtonpost.com/entry/inhofe-barbra...	inhofe's grand climate conspiracy theory: it's all...	0
https://www.huffingtonpost.com/entry/questions-i-w...	5 questions i wish younger people would stop askin...	0
https://www.huffingtonpost.com/entry/albuquerque-s...	albuquerque shooter on the loose; gunman leaves 1 ...	0
https://www.huffingtonpost.com/entry/an-adventure-...	what it's like to lose everything in a flood	0
https://www.huffingtonpost.com/entry/watch-demi-lo...	demi lovato drops emotional 'nightingale' music vi...	0
https://www.huffingtonpost.com/entry/miley-cyrus-l...	miley cyrus and liam hemsworth smooch on nye, and ...	0
https://www.theonion.com/jealous-gps-clearly-wants...	jealous gps clearly wants man to back over wife	1
https://www.huffingtonpost.com/entry/natalie-moral...	'parks and rec' star natalie morales comes out as ...	0
https://www.huffingtonpost.com/entry/our-top-italy...	the top italy tours for 2015	0
https://www.huffingtonpost.com/entry/cindy-crawfor...	kaia gerber, cindy crawford's daughter, lands majo...	0
https://sports.theonion.com/l-a-grants-clippers-12...	l.a. grants clippers $12 for new nets	1
https://www.huffingtonpost.com/entry/david-beckham...	james corden roasts david beckham for matching out...	0
https://www.theonion.com/cafe-adds-heartbreaking-l...	café adds heartbreaking little lunch menu	1
https://www.huffingtonpost.com/entry/mcdonalds-vow...	mcdonald's says its packaging will be 100 percent ...	0
https://www.huffingtonpost.com/entry/kris-jenner-t...	kris jenner turned all the way up for drunken vale...	0
https://www.theonion.com/whale-regrets-eating-290-...	whale regrets eating 290,000 plastic poker chips t...	1
https://www.huffingtonpost.com/entry/texas-ebola-p...	texas ebola patient 'fighting for his life'	0
https://local.theonion.com/is-it-too-late-to-audit...	'is it too late to audition?' asks perfect actor f...	1
https://entertainment.theonion.com/robert-de-niro-...	robert de niro to turn 58 for movie role	1
https://www.huffingtonpost.com/entry/scott-pruitt-...	scott pruitt (sort of) answers whether trump belie...	0
https://www.huffingtonpost.com/entry/father-son-ur...	accused father and son urinal thieves flushed out ...	0
https://local.theonion.com/just-take-it-slow-and-y...	'just take it slow, and you'll be fine,' drunk dri...	1
https://www.huffingtonpost.com/entry/philadelphia-...	3 libertarians fuel $7 million super pac in philad...	0
https://www.huffingtonpost.com/entry/air-force-oat...	air force will no longer require 'so help me god' ...	0
https://entertainment.theonion.com/paul-newman-die...	paul newman dies after consuming 51 hard-boiled eg...	1
https://www.theonion.com/yak-chews-thoughtfully-18...	yak chews thoughtfully	1
https://local.theonion.com/man-worried-about-drug-...	man worried about drug dealer who's not picking up...	1
https://local.theonion.com/dad-recommends-hotel-10...	dad recommends hotel 10 miles away from city you'r...	1
https://www.huffingtonpost.com/entry/paris-buildin...	explosion fells building outside paris, killing at...	0
https://www.huffingtonpost.com/entry/source-of-don...	the source of donald trump's military expertise fi...	0
https://www.huffingtonpost.com/entry/bernie-sander...	union claims sanders campaign staffers posed as me...	0
https://www.huffingtonpost.com/entry/seattle-mayor...	seattle mayor's accuser in sex-abuse lawsuit comes...	0
https://local.theonion.com/southern-comfort-comfor...	southern comfort comforts southerner	1
https://www.huffingtonpost.com/entry/sweden-fox-ne...	swedish police featured in film shown by fox news ...	0
https://www.huffingtonpost.com/entry/chromat-plus-...	chromat features not 1, but 2 plus-size models on ...	0
https://www.huffingtonpost.comhttp://www.baltimore...	councilman calls on baltimore rappers to inspire s...	0
https://www.huffingtonpost.com/entry/10-qualities-...	10 qualities of your inner spirit	0
https://entertainment.theonion.com/chubby-jewish-b...	chubby jewish boy dreams of one day being next apa...	1
https://www.huffingtonpost.com/entry/the-only-pare...	the only parenting advice i'd dare to give	0
https://local.theonion.com/family-chooses-differen...	family chooses different dog than reincarnated gra...	1
https://www.huffingtonpost.com/entry/celebrities-f...	celebrities celebrate fourth of july with some fun...	0
https://www.huffingtonpost.com/entry/international...	international women's day: will "western women sav"...	0
https://www.huffingtonpost.com/entry/michelle-phan...	michelle phan, youtube's 'beauty bestie,' empowers...	0
https://www.huffingtonpost.com/entry/caitlyn-jenne...	caitlyn jenner responds to ricky gervais' golden g...	0
https://www.huffingtonpost.com/entry/joy-behar-res...	joy behar responds to michael flynn guilty plea wi...	0
https://www.huffingtonpost.com/entry/6-things-no-o...	6 things no one tells women about their weight los...	0
https://local.theonion.com/fan-disappointed-to-lea...	fan disappointed to learn l. ron hubbard scientolo...	1
https://local.theonion.com/marriage-breaks-up-over...	marriage breaks up over procreative differences	1
https://www.huffingtonpost.com/entry/ne-yo-investm...	ne-yo helps to raise $2.3 million for california e...	0
https://www.huffingtonpost.com/entry/elizabeth-war...	elizabeth warren calls donald trump a 'racist bull...	0
https://www.huffingtonpost.com/entry/baltimore-bus...	six dead, 10 hurt in baltimore commuter, school bu...	0
https://www.theonion.com/fox-news-problem-solvers-...	fox news problem solvers in way over their heads	1
https://www.huffingtonpost.com/entry/kim-gordon-la...	kim gordon clarifies her comments on lana del rey ...	0
https://www.theonion.com/bashar-al-assad-tries-tin...	bashar al-assad tries tiny bit of sarin gas on sel...	1
https://www.huffingtonpost.com/entry/my-niece-has-...	my niece has cancer and i'm ticked about it	0
https://www.huffingtonpost.com/entry/stephanie-sey...	supermodel stephanie seymour arrested, charged wit...	0
https://www.huffingtonpost.com/entry/scoliosis-wha...	scoliosis: what you need to know	0
https://www.huffingtonpost.com/entry/controversy-e...	controversy erupts after uk retailer removes gende...	0
https://www.theonion.com/teacher-bitches-about-pay...	teacher bitches about paycheck to sixth-grade clas...	1
https://www.theonion.com/area-insurance-salesman-c...	area insurance salesman celebrates 14th year of qu...	1
https://www.theonion.com/friends-always-on-best-be...	friends always on best behavior around neil labute	1
https://entertainment.theonion.com/man-vows-never-...	man vows never to watch another sci-fi movie with ...	1
https://www.theonion.com/biologists-announce-they-...	biologists announce they're all done with rodents	1
https://www.huffingtonpost.comhttps://www.washingt...	megyn kelly on donald trump: 'i have done my level...	0
https://www.huffingtonpost.com/entry/the-secret-be...	the secret behind a one day project going viral	0
https://www.huffingtonpost.com/entry/creating-leve...	creating leverage where none seems to exist	0
https://entertainment.theonion.com/new-movie-taps-...	new movie taps into nation's love of rapping kanga...	1
https://www.theonion.com/newspaper-starting-to-wor...	newspaper starting to worry spending so much time ...	1
https://www.huffingtonpost.com/entry/the-lawsuit-a...	the lawsuit against black lives matter and the cen...	0
https://www.theonion.com/vatican-putting-out-feele...	vatican putting out feelers for how public would r...	1
https://www.huffingtonpost.comhttp://baltimore.cbs...	'the wire' cast reunited in baltimore to uplift co...	0
https://www.huffingtonpost.com/entry/merrick-garla...	obama's supreme court nominee just bragged about s...	0
https://www.huffingtonpost.com/entry/alonzo-smith-...	death of d.c. man in security guard custody ruled ...	0
https://www.huffingtonpost.com/entry/boehner-vows-...	boehner vows to leave successor with clean slate	0
https://politics.theonion.com/trump-makes-last-min...	trump makes last-minute push to appeal to whites	1
https://www.huffingtonpost.com/entry/shishmaref-al...	facing rising seas, remote alaskan village votes t...	0
https://www.theonion.com/all-of-child-s-fondest-me...	all of child's fondest memories times when dad try...	1
https://www.huffingtonpost.com/entry/the-worst-pla...	the worst place in the world for a child	0
https://www.huffingtonpost.com/entry/mom-25-years-...	mom sentenced for encouraging boyfriend's sex assa...	0
https://www.huffingtonpost.comhttps://www.washingt...	donald trump's assault on our values	0
https://www.huffingtonpost.com/entry/womens-march-...	the women's march inspired them to run. now they'r...	0
https://www.huffingtonpost.com/entry/was-it-worth-...	was it worth it, america?	0
https://www.huffingtonpost.comhttp://www.politico....	gop senators aren't ready to accept trump as their...	0
https://www.huffingtonpost.com/entry/martin-shkrel...	price-gouging pharma ceo takes over cancer company	0
https://www.theonion.com/man-failing-to-heed-harsh...	man failing to heed harsh lessons of past orders s...	1
https://entertainment.theonion.com/ken-burns-compl...	ken burns completes documentary about fucking liar...	1
https://www.theonion.com/magic-markered-initials-f...	magic-markered initials fail to deter breakroom ri...	1
https://www.huffingtonpost.com/entry/straight-outt...	'straight outta compton' is a stunning surprise	0
https://www.huffingtonpost.com/entry/carly-rae-jep...	carly rae jepsen just released her new single, 'al...	0
https://www.theonion.com/god-humbled-to-be-the-ans...	god humbled to be the answer to 'jeopardy!' clue	1
https://local.theonion.com/female-barista-getting-...	female barista getting a lot better at avoiding to...	1
https://www.huffingtonpost.com/entry/konstanz-nigh...	gunman kills one, wounds four in shooting at germa...	0
https://www.theonion.com/couple-at-point-where-the...	couple at point where they're comfortable using to...	1
https://www.huffingtonpost.com/entry/cougar-p-23-k...	mountain lion tracked by scientists is found dead ...	0
https://www.huffingtonpost.com/entry/noah-cyrus-ha...	noah cyrus makes her late-night debut belting out ...	0
https://politics.theonion.com/scalia-goes-on-abort...	scalia goes on abortion bender after being passed ...	1
https://www.theonion.com/campbells-unveils-one-big...	campbell's unveils one big can-sized noodle	1
https://local.theonion.com/is-area-man-going-to-fi...	is area man going to finish those fries?	1
https://www.huffingtonpost.com/entry/taylor-swift-...	taylor swift used a 'gremlin voice' while writing ...	0
https://local.theonion.com/restaurant-s-eating-cha...	restaurant's eating challenge rewards any patron w...	1
https://local.theonion.com/fun-sticker-placed-on-c...	fun sticker placed on child's ventilator	1
https://www.huffingtonpost.com/entry/the-best-way-...	the best way to eat avocados: avocado pasta	0
https://www.theonion.com/that-one-mcdonalds-plate-...	that one mcdonald's plate from the '70s: holy shit...	1
https://www.huffingtonpost.com/entry/an-open-lette...	an open letter to progressives: tpp is not yet 'th...	0
https://www.theonion.com/modern-day-lancelot-offer...	modern-day lancelot offers to pay for abortion	1
https://www.theonion.com/united-airlines-offering-...	united airlines offering immigrants special flight...	1
https://www.theonion.com/sun-thinking-of-just-coll...	sun thinking of just collapsing now and getting th...	1
https://www.huffingtonpost.com/entry/clarence-thom...	justice thomas' wife calls supreme court retiremen...	0
https://politics.theonion.com/trump-retweets-video...	trump retweets video from anti-muslim hate group	1
https://local.theonion.com/long-silent-facebook-fr...	long-silent facebook friend comes out of woodwork ...	1
https://www.theonion.com/struggling-airline-helped...	struggling airline helped by friendly giant	1
https://www.huffingtonpost.com/entry/how-to-breaku...	7 ways to breakup like a boss	0
https://www.huffingtonpost.com/entry/malcolm-in-th...	sure seems like frankie muniz wants a 'malcolm in ...	0
https://www.huffingtonpost.com/entry/using-the-uni...	using the united fiasco to flourish in the future	0
https://local.theonion.com/unemployed-sibling-make...	unemployed sibling makes last push for group mothe...	1
https://www.theonion.com/3822-voted-americas-favor...	3822 voted america's favorite pin number	1
https://www.huffingtonpost.com/entry/thank-a-teach...	thank a teacher thursday: dominic casulli and the ...	0
https://www.huffingtonpost.com/entry/a-toe-in-the-...	a toe in the arctic ocean: canada's northwest terr...	0
https://www.huffingtonpost.com/entry/it-will-never...	'it will never happen to me'	0
https://www.theonion.com/mark-zuckerberg-cited-for...	mark zuckerberg cited for contempt of congress aft...	1
https://www.huffingtonpost.comhttp://pubx.co/ik1f4...	rubio supporters get in a scuffle with a 'rubiobot...	0
https://www.huffingtonpost.com/entry/the-music-of-...	the music of strangers: a film review by dr. lloyd...	0
https://www.theonion.com/dsm-5-updated-to-accommod...	'dsm-5' updated to accommodate man who is legitima...	1
https://www.theonion.com/purina-debuts-new-slovenl...	purina debuts new 'slovenly feast' for nasty-ass s...	1
https://www.huffingtonpost.com/entry/obama-darrell...	obama chides darrell issa for touting alliance wit...	0
https://www.huffingtonpost.com/entry/pope-francis-...	pope francis' iraq peace message meets the reality...	0
https://www.huffingtonpost.com/entry/ant-man-and-t...	'ant-man and the wasp' trailer brings the fun afte...	0
https://www.theonion.com/frontier-airlines-tells-c...	frontier airlines tells customers to just fucking ...	1
https://www.huffingtonpost.com/entry/moses-and-the...	moses and the red sea	0
https://www.theonion.com/everyone-forgets-to-bring...	everyone forgets to bring swimsuits to coworker's ...	1
https://www.huffingtonpost.com/entry/george-takei-...	george takei accused of groping former male model ...	0
https://www.theonion.com/new-york-times-adds-color...	new york times adds color to target under-70 demog...	1
https://www.huffingtonpost.com/entry/the-hollywood...	the hollywood boys' club that supports casey affle...	0
https://www.huffingtonpost.com/entry/3-myths-about...	3 myths about low libido	0
https://www.theonion.com/girl-scouts-rocked-by-coo...	girl scouts rocked by 'cookies for cash' fundraisi...	1
